day,hour,actual,AR(24) on diff,XGBoost(direct),Naive,Drift
2014-07-04,4,0.3,0.3291259049025903,0.4067293405532837,0.3,0.30001698754246886
2014-07-04,5,0.32,0.3352467219131416,0.5109989643096924,0.3,0.3000203850509626
2014-07-04,6,0.3,0.3453647813014108,0.41430938243865967,0.3,0.3000237825594564
2014-07-04,7,0.38,0.34841112275355,0.41933104395866394,0.3,0.30002718006795015
2014-07-04,8,0.4,0.3560644757602663,0.4034738540649414,0.3,0.3000305775764439
2014-07-04,9,0.33,0.3616737835909243,0.4826965630054474,0.3,0.3000339750849377
2014-07-04,10,0.37,0.3610420853306123,0.442797988653183,0.3,0.3000373725934315
2014-07-04,11,0.36,0.3554570036394521,0.31779372692108154,0.3,0.30004077010192526
2014-07-04,12,0.35,0.34760546084967014,0.4183506369590759,0.3,0.300044167610419
2014-07-04,13,0.33,0.34052232952798545,0.3251793682575226,0.3,0.3000475651189128
2014-07-04,14,0.34,0.3387528489694884,0.20928864181041718,0.3,0.30005096262740655
2014-07-04,15,0.35,0.33666986040655195,0.2368653565645218,0.3,0.3000543601359003
2014-07-04,16,0.32,0.3386037461904512,0.4009629189968109,0.3,0.3000577576443941
2014-07-04,17,0.35,0.33923062740996063,0.40882381796836853,0.3,0.3000611551528879
2014-07-04,18,0.35,0.34199526061400404,0.5049207806587219,0.3,0.30006455266138166
2014-07-04,19,0.36,0.34387444527957745,0.5615353584289551,0.3,0.3000679501698754
2014-07-04,20,0.33,0.34572503049585995,0.5393458008766174,0.3,0.3000713476783692
2014-07-04,21,0.34,0.34338596251629566,0.44561389088630676,0.3,0.30007474518686295
2014-07-04,22,0.3,0.3374644656179141,0.5648359060287476,0.3,0.3000781426953567
2014-07-04,23,0.31,0.33396603320641133,0.5600755214691162,0.3,0.30008154020385047
2014-07-05,0,0.33,0.31953100209166924,0.2775938808917999,0.31,0.3100045177320985
2014-07-05,1,0.29,0.3228016943399657,0.2705731987953186,0.31,0.31000903546419695
2014-07-05,2,0.31,0.31988541202579973,0.2822546064853668,0.31,0.3100135531962955
2014-07-05,3,0.32,0.32196131146788287,0.2751854360103607,0.31,0.31001807092839395
2014-07-05,4,0.29,0.3273638560364878,0.5001358389854431,0.31,0.3100225886604924
2014-07-05,5,0.38,0.33086700780288614,0.5006893277168274,0.31,0.3100271063925909
